177620055.3504	124590019339.77036	-86056711691.7275	7868436.750165939	19431.239498223644	26649.024456334897	1797.200256006707
177623655.3504	124653727427.7099	-85965440357.7584	10608196.787169058	16450.76544189072	24425.64361518149	18.158086275954474
177627255.3504	124708402339.32323	-85880892779.2242	7962252.422294888	13616.801420786669	22313.433991686336	-1672.641048072079
177630855.3504	124657897587.5858	-85875893832.92857	-57916755.392836146	-40802.15507060228	-18878.670002494484	-34403.12764581862
177634455.3504	124511027737.8134	-85943798957.28513	-181738687.77631718	-40800.39651156446	-18852.5808377786	-34391.75340537292
177638055.3504	124364122772.40747	-86011641357.12862	-305544523.2024549	-40814.09689508801	-18838.10245055313	-34389.6359650222
177641655.3504	124217164054.19891	-86079434888.30348	-429345348.34703046	-40829.806732180434	-18825.092808924754	-34388.69907874729
177645255.3504	124070147397.36601	-86147182557.83115	-553143589.1992315	-40846.1846496818	-18812.54876401311	-34388.14022073006
177648855.3504	123923071166.3259	-86214885466.80865	-676940146.4158883	-40862.86900289541	-18800.200027863437	-34387.743076448365
177652455.3504	123775934542.27823	-86282544105.60963	-800735431.9834669	-40879.721329840584	-18787.942996966834	-34387.424772722996
177656055.3504	123628737049.93422	-86350158707.4403	-924529652.2161494	-40896.67717315165	-18775.729385777828	-34387.146699179
177659655.3504	123481478383.98903	-86417729378.12071	-1048322911.5680027	-40913.70244926293	-18763.533641900915	-34386.88842208347
177663255.3504	123334158333.01431	-86485256153.07835	-1172115258.1888115	-40930.77742864652	-18751.34096926757	-34386.63810211221
177666855.3504	123186776741.73236	-86552739025.6324	-1295906706.517086	-40947.88988699224	-18739.14220198273	-34386.38839575523
177670455.3504	123039333490.56259	-86620177962.34409	-1419697249.5346186	-40965.031835877795	-18726.931354795186	-34386.13449796058
177674055.3504	122891828483.74332	-86687572911.93935	-1543486865.8860276	-40982.19782530484	-18714.704350130407	-34385.87312546302
177677655.3504	122744261642.04706	-86754923810.7854	-1667275524.246663	-40999.38400184987	-18702.45831122302	-34385.601952486926
177681255.3504	122596632898.11028	-86822230586.40468	-1791063186.123909	-41016.587557130995	-18690.19114790501	-34385.31928020551
177684855.3504	122448942193.32678	-86889493159.8139	-1914849807.721209	-41033.8063900778	-18677.901302815048	-34385.02383428371
177688455.3504	122301189475.71608	-86956711447.13051	-2038635341.2176352	-41051.038892180724	-18665.587589939456	-34384.71463611458
177692055.3504	122153374698.42113	-87023885360.70566	-2162419735.6699805	-41068.28380646604	-18653.249088535893	-34384.390918245066
177695655.3504	122005497818.62512	-87091014809.94205	-2286202937.66359	-41085.54013226627	-18640.885071475386	-34384.05206725631
177699255.3504	121857558796.75443	-87158099701.89635	-2409984891.791498	-41102.80705932748	-18628.49495564254	-34383.69758423475
177702855.3504	121709557595.88164	-87225139941.73097	-2533765541.013518	-41120.08392122458	-18616.07826685899	-34383.327056822694
177706455.3504	121561494181.27145	-87292135433.05832	-2657544826.9296556	-41137.37016179157	-18603.634614599858	-34382.940139075225
177710055.3504	121413368520.03029	-87359086078.20688	-2781322689.9912786	-41154.66531051337	-18591.163673455485	-34382.53653669315
177713655.3504	121265180580.83244	-87425991778.4296	-2905099069.6663003	-41171.96896420702	-18578.665169328462	-34382.11599602939
177717255.3504	121116930333.70378	-87492852434.06898	-3028873904.5699058	-41189.280773193736	-18566.13886901262	-34381.67829578989
177720855.3504	120968617749.84892	-87559667944.68939	-3152647132.5691037	-41206.60043072761	-18553.584572225267	-34381.223240689025
177724455.3504	120820242801.51208	-87626438209.18393	-3276418690.8671527	-41223.92766482016	-18541.002105444488	-34380.75065654272
177728055.3504	120671805461.86386	-87693163125.8618	-3400188516.072346	-41241.26223185021	-18528.391317091846	-34380.26038643319
177731655.3504	120523305704.90855	-87759842592.52022	-3523956544.2545123	-41258.603911520215	-18515.752073729975	-34379.75228768194
177735255.3504	120374743505.40773	-87826476506.50403	-3647722710.991773	-41275.95250283934	-18503.084257034174	-34379.22622943903
177738855.3504	120226118838.8167	-87893064764.75557	-3771486951.409519	-41293.307820897404	-18490.387761360285	-34378.6820907472
177742455.3504	120077431681.23148	-87959607263.85669	-3895249200.2131047	-41310.66969425383	-18477.662491776347	-34378.119758975205
177746055.3504	119928682009.3443	-88026103900.0643	-4019009391.715446	-41328.03796280903	-18464.90836245808	-34377.539128540804
177749655.3504	119779869800.40602	-88092554569.34073	-4142767459.86045	-41345.412476057325	-18452.12529537217	-34376.94009986288
177753255.3504	119630995032.19423	-88158959167.37976	-4266523338.2430115	-41362.79309164398	-18439.313219188945	-34376.32257849611
177756855.3504	119482057682.98616	-88225317589.62907	-4390276960.12617	-41380.179674166306	-18426.472068379204	-34375.686474412265
177760455.3504	119333057731.5355	-88291629731.30974	-4514028258.455899	-41397.572094172014	-18413.601782459853	-34375.031701399916
177764055.3504	119183995157.05257	-88357895487.43318	-4637777165.873912	-41414.970227317965	-18400.702305360588	-34374.3581765605
177767655.3504	119034869939.18716	-88424114752.81612	-4761523614.728803	-41432.37395366013	-18387.773584889594	-34373.665819883194
177771255.3504	118885682058.01392	-88490287422.09367	-4885267537.085774	-41449.78315705155	-18374.815572280724	-34372.954553884614
177774855.3504	118736431494.01952	-88556413389.73097	-5009008864.735173	-41467.19772462953	-18361.82822180806	-34372.22430330215
177778455.3504	118587118228.0917	-88622492550.03351	-5132747529.199998	-41484.61754637707	-18348.811490456494	-34371.47499483188
177782055.3504	118437742241.50977	-88688524797.15639	-5256483461.742537	-41502.042514746325	-18335.76533763908	-34370.70655690371
