1.245042281341738999e+08 1.363289370317943394e+08 1.411501961410976946e+08 7.006049156188964844e+02 8.251309394836425781e+02 7.161259651184082031e+02
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 9.128212928771972656e+02 1.339161396026611328e+03 1.312649250030517578e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 1.124632358551025391e+03 1.584374904632568359e+03 1.481640338897705078e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 1.509368419647216797e+03 1.664483547210693359e+03 1.686108112335205078e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 1.979458332061767578e+03 1.607859134674072266e+03 1.910531520843505859e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 2.266776561737060547e+03 1.615417003631591797e+03 2.140653133392333984e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 2.416241168975830078e+03 1.689398288726806641e+03 2.362263202667236328e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 2.589857578277587891e+03 1.798236370086669922e+03 2.550971508026123047e+03
1.999999999883584678e+08 1.999999999883584678e+08 1.999999999883584678e+08 2.551615238189697266e+03 1.658165454864501953e+03 2.484595775604248047e+03
1.591272404533810914e+08 1.351910118130035698e+08 1.815985896508209407e+08 9.166002273559570312e+01 7.966756820678710938e+01 1.051783561706542969e+02
